date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:46:00	7393/7393	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Jun%202025%2000:45:59%20GMT	https://enviopendente.lat/v1/consulta/index.php	C:/Meus%20Sites/braspress/enviopendente.lat/v1/consulta/index.html	(from )
21:46:00	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-60bffde27a88de2;gz%22	https://enviopendente.lat/robots.txt		(from )
21:46:00	10128/10128	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Jun%202025%2000:45:59%20GMT	https://enviopendente.lat/v1/	C:/Meus%20Sites/braspress/enviopendente.lat/v1/index.html	(from )
21:46:01	56/56	---M--	302	error ('Found')	text/plain	date:Thu,%2005%20Jun%202025%2000:46:00%20GMT	https://unpkg.com/mobile-detect/mobile-detect.min.js	C:/Meus%20Sites/braspress/unpkg.com/mobile-detect/mobile-detect.min.1.delayed	(from https://enviopendente.lat/v1/)
21:46:01	39585/39585	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2015%20May%202025%2020:02:23%20GMT	https://unpkg.com/mobile-detect@1.4.5/mobile-detect.min.js	C:/Meus%20Sites/braspress/unpkg.com/mobile-detect@1.4.5/mobile-detect.min.js	(from https://enviopendente.lat/v1/)
21:46:01	170/170	---M--	200	added ('OK')	text/css	etag:%22aa-682ddc77-c6e6884bfd49310c;;;%22	https://enviopendente.lat/v1/includes/fonte.css	C:/Meus%20Sites/braspress/enviopendente.lat/v1/includes/fonte.css	(from https://enviopendente.lat/v1/)
21:46:03	266768/266768	---MCZ	200	added ('OK')	text/css	etag:W/%22ede37d52a7249a79e48895a16e82ce9c%22	https://use.hugeicons.com/font/icons.css	C:/Meus%20Sites/braspress/use.hugeicons.com/font/icons.css	(from https://enviopendente.lat/v1/)
21:46:03	259578/259578	---M-Z	200	added ('OK')	application/javascript	etag:W/%223f5fa-+L+sk592leaTA+gnxuW17Bjzrls%22	https://cdn.jsdelivr.net/npm/@tailwindcss/browser@4	C:/Meus%20Sites/braspress/cdn.jsdelivr.net/npm/@tailwindcss/browser@4	(from https://enviopendente.lat/v1/)
21:46:03	8040/8040	---M--	200	added ('OK')	image/png	etag:%221f68-682ddc77-dcf71c620d9a001e;;;%22	https://enviopendente.lat/v1/assets/imagens/logo.png	C:/Meus%20Sites/braspress/enviopendente.lat/v1/assets/imagens/logo.png	(from https://enviopendente.lat/v1/)
21:46:03	550/550	---M-Z	200	added ('OK')	image/svg+xml	etag:%22226-682ddc77-da794655a4882d4d;gz%22	https://enviopendente.lat/v1/assets/icones/menu.svg	C:/Meus%20Sites/braspress/enviopendente.lat/v1/assets/icones/menu.svg	(from https://enviopendente.lat/v1/)
21:46:03	2541/2541	---M--	200	added ('OK')	image/png	etag:%229ed-682ddc77-ee7c95f7d18b34eb;;;%22	https://enviopendente.lat/v1/assets/icones/usuario.png	C:/Meus%20Sites/braspress/enviopendente.lat/v1/assets/icones/usuario.png	(from https://enviopendente.lat/v1/)
21:46:04	89224/89224	---M--	200	added ('OK')	image/jpeg	etag:%2215c88-682ddc77-dde6434b4201dc92;;;%22	https://enviopendente.lat/v1/assets/imagens/noticia1.jpeg	C:/Meus%20Sites/braspress/enviopendente.lat/v1/assets/imagens/noticia1.jpg	(from https://enviopendente.lat/v1/)
21:46:05	1231403/1231403	---M--	200	added ('OK')	image/jpeg	etag:%2212ca2b-682ddc77-445f98dc68395ef1;;;%22	https://enviopendente.lat/v1/assets/imagens/noticia2.jpg	C:/Meus%20Sites/braspress/enviopendente.lat/v1/assets/imagens/noticia2.jpg	(from https://enviopendente.lat/v1/)
21:46:05	11110/11110	---M--	200	added ('OK')	image/gif	etag:%222b66-682ddc77-2335cecd0989794b;;;%22	https://enviopendente.lat/v1/assets/imagens/carregando.gif	C:/Meus%20Sites/braspress/enviopendente.lat/v1/assets/imagens/carregando.gif	(from https://enviopendente.lat/v1/)
21:46:05	488334/488334	---M--	200	added ('OK')	image/jpeg	etag:%227738e-682ddc77-6e9b4ad7389f4fb4;;;%22	https://enviopendente.lat/v1/assets/imagens/noticia4.jpg	C:/Meus%20Sites/braspress/enviopendente.lat/v1/assets/imagens/noticia4.jpg	(from https://enviopendente.lat/v1/)
21:46:06	1812/1812	---M--	200	added ('OK')	image/png	etag:%22714-682ddc77-3b9b8a350ac7581f;;;%22	https://enviopendente.lat/v1/assets/imagens/link.png	C:/Meus%20Sites/braspress/enviopendente.lat/v1/assets/imagens/link.png	(from https://enviopendente.lat/v1/)
21:46:06	108191/108191	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Jun%202025%2000:46:05%20GMT	https://www.youtube.com/embed/W29E-AfKINQ	C:/Meus%20Sites/braspress/www.youtube.com/embed/W29E-AfKINQ.html	(from https://enviopendente.lat/v1/)
21:46:07	1762/1762	---M--	200	added ('OK')	image/png	etag:%226e2-682ddc77-787d477c9714f82c;;;%22	https://enviopendente.lat/v1/assets/imagens/youtube.png	C:/Meus%20Sites/braspress/enviopendente.lat/v1/assets/imagens/youtube.png	(from https://enviopendente.lat/v1/)
21:46:07	2021/2021	---M--	200	added ('OK')	image/png	etag:%227e5-682ddc77-590910408cb58456;;;%22	https://enviopendente.lat/v1/assets/imagens/facebook.png	C:/Meus%20Sites/braspress/enviopendente.lat/v1/assets/imagens/facebook.png	(from https://enviopendente.lat/v1/)
21:46:07	2528/2528	---M--	200	added ('OK')	image/png	etag:%229e0-682ddc77-1891bd8969b1e7e4;;;%22	https://enviopendente.lat/v1/assets/imagens/instagram.png	C:/Meus%20Sites/braspress/enviopendente.lat/v1/assets/imagens/instagram.png	(from https://enviopendente.lat/v1/)
21:46:07	2195264/2195264	---M--	200	added ('OK')	image/jpeg	etag:%22217f40-682ddc77-c4a294c17910b1f6;;;%22	https://enviopendente.lat/v1/assets/imagens/noticia3.jpg	C:/Meus%20Sites/braspress/enviopendente.lat/v1/assets/imagens/noticia3.jpg	(from https://enviopendente.lat/v1/)
21:46:07	386/386	---M-Z	200	added ('OK')	application/x-javascript	etag:%22182-682ddc77-95adcf8c32d20cd8;gz%22	https://enviopendente.lat/v1/js/modal.js	C:/Meus%20Sites/braspress/enviopendente.lat/v1/js/modal.js	(from https://enviopendente.lat/v1/)
